主订单编号,选购商品,收件人,收件人手机号,省,市,区,街道,详细地址,快递信息
"	4837551682738421562",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501728676461
"	4837551541009978651",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728676490
"	4837551536720650042",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,
"	4837550935412724969",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501728676446
"	4837550630476235930",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728679139
"	4837550613289688414",葡萄牙进口Renova彩色手帕纸便携式随身装纸巾六色组合-6色组合-(RZH-100068);葡萄牙进口Renova彩色手帕纸便携式随身装口袋纸巾18包礼盒-18包混色-(RZH-100125);葡萄牙原装进口Renova湿巾20片独立包装便携式随身装2盒装-薰衣草和柠檬混合装-(RZH-100104);葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728699668;中通速递-75501728699668;中通速递-75501728699668;中通速递-75501728699668
"	4837550570342301215",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657);[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602);[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501728699484;中通速递-75501728699484;中通速递-75501728699484
"	4837550488734422870",葡萄牙原装进口Renova湿巾20片独立包装便携式随身装2盒装-薰衣草和柠檬混合装-(RZH-100104),***,***,***,***,***,***,***,中通速递-75501728699507
"	4837550454375143212",葡萄牙原装进口Renova湿巾20片独立包装便携式随身装2盒装-薰衣草和柠檬混合装-(RZH-100104),***,***,***,***,***,***,***,中通速递-75501728699627
"	4837550415725088476",葡萄牙原装进口Renova湿巾20片独立包装便携式随身装2盒装-薰衣草和柠檬混合装-(RZH-100104),***,***,***,***,***,***,***,中通速递-75501728685000
"	4837550265400368156",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501728700577
"	4837550273987026622",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728679141
"	4837550179498663154",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728699471
"	4837550132255661084",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728700577
"	4837550153735700179",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728700592
"	4837550140868023737",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728700671
"	4837550072130379454",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728679141
"	4837550067838162814",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728699535
"	4837550042057823368",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728700697
"	4837549999108185350",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728699497
